timestamp,n_rows,n_queries,n_columns,time_seconds
2025-10-31 09:45:49,1000,100,5,1.14
2025-10-31 09:45:50,1000,100,10,0.85
2025-10-31 09:45:51,1000,100,20,0.85
2025-10-31 09:45:52,1000,100,30,0.87
2025-10-31 09:45:54,1000,100,40,0.9
2025-10-31 09:45:55,1000,100,55,1.06
2025-10-31 09:45:56,10000,100,5,0.65
2025-10-31 09:45:57,10000,100,10,0.67
2025-10-31 09:45:58,10000,100,20,0.83
2025-10-31 09:45:59,10000,100,30,0.85
2025-10-31 09:46:01,10000,100,40,0.9
2025-10-31 09:46:02,10000,100,55,0.95
2025-10-31 09:46:04,50000,100,5,0.77
2025-10-31 09:46:05,50000,100,10,0.87
2025-10-31 09:46:06,50000,100,20,0.95
2025-10-31 09:46:08,50000,100,30,1.08
2025-10-31 09:46:09,50000,100,40,1.15
2025-10-31 09:46:11,50000,100,55,1.14
2025-10-31 09:46:14,100000,100,5,0.99
2025-10-31 09:46:15,100000,100,10,0.97
2025-10-31 09:46:16,100000,100,20,1.07
2025-10-31 09:46:18,100000,100,30,1.43
2025-10-31 09:46:20,100000,100,40,1.32
2025-10-31 09:46:22,100000,100,55,1.5
2025-10-31 09:46:24,150000,100,5,1.15
2025-10-31 09:46:26,150000,100,10,1.18
2025-10-31 09:46:27,150000,100,20,1.51
2025-10-31 09:46:29,150000,100,30,1.48
2025-10-31 09:46:31,150000,100,40,1.48
2025-10-31 09:46:34,150000,100,55,1.69
2025-10-31 09:46:37,200000,100,5,1.27
2025-10-31 09:46:38,200000,100,10,1.32
2025-10-31 09:46:40,200000,100,20,1.52
2025-10-31 09:46:42,200000,100,30,1.55
2025-10-31 09:46:44,200000,100,40,1.63
2025-10-31 09:46:47,200000,100,55,1.81
2025-10-31 09:46:53,500000,100,5,2.28
2025-10-31 09:46:55,500000,100,10,2.36
2025-10-31 09:46:58,500000,100,20,2.58
2025-10-31 09:47:02,500000,100,30,2.75
2025-10-31 09:47:06,500000,100,40,3.09
2025-10-31 09:47:11,500000,100,55,3.21
2025-10-31 09:47:22,1000000,100,5,3.96
2025-10-31 09:47:26,1000000,100,10,4.17
2025-10-31 09:47:32,1000000,100,20,4.44
2025-10-31 09:47:38,1000000,100,30,5.1
2025-10-31 09:47:46,1000000,100,40,5.42
2025-10-31 09:47:56,1000000,100,55,6.47
